SMILES,Ingre_ID,Canonical_SMILES
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O,10131,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O
CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC(C3)O)C,10132,CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC(C3)O)C
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4(O)CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O,10133,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4(O)CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O
CC1CCC2(OC1)OC1C(C2C)C2(C(C1)(O)C1CC=C3C(C1CC2)(C)CCC(C3)O)C,10134,CC1CCC2(OC1)OC1C(C2C)C2(C(C1)(O)C1CC=C3C(C1CC2)(C)CCC(C3)O)C
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4(O)CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O,10135,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4(O)CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O
CC1CCC2(OC1)OC1C(C2C)C2(C(C1)(O)C1CC=C3C(C1CC2)(C)CCC(C3)O)C,10136,CC1CCC2(OC1)OC1C(C2C)C2(C(C1)(O)C1CC=C3C(C1CC2)(C)CCC(C3)O)C
CC1CCC2(OC1)OC1C(C2C)C2(C(C1)(O)C1CC=C3C(C1CC2)(C)CCC(C3)O)C,10137,CC1CCC2(OC1)OC1C(C2C)C2(C(C1)(O)C1CC=C3C(C1CC2)(C)CCC(C3)O)C
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O,10138,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OCC(C(C1O)O)O)O)O)O
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4(O)CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O)O)O)O,10139,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4(O)CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O)O)O)O
OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O)O)O)O,10140,OCC1OC(OC2CCC3(C(=CCC4C3CCC3(C4CC4C3C(C)C3(O4)CCC(CO3)C)C)C2)C)C(C(C1OC1OC(CO)C(C(C1OC1OC(CO)C(C(C1O)O)O)OC1OC(CO)C(C(C1O)O)O)O)O)O
CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC(C3)O)C,10141,CC1CCC2(OC1)OC1C(C2C)C2(C(C1)C1CC=C3C(C1CC2)(C)CCC(C3)O)C
